Dataset Name,Model Name,Attack Field,Attack Type,Accuracy,Precision,Recall,F1 Score
D1,BertVgg,Text,HotFlip,0.7296138229392193,0.7763176786446687,0.6810068723326088,0.7099987939983043
D1,BertVgg,Text,Text Burger,0.7015363065872567,0.7323828556307097,0.6728775890700263,0.6876626487964659
D1,BertVgg,Text,Text Fooler,0.699471056956744,0.7470105130773862,0.6677052748708898,0.7269949891024003
D1,BertVgg,Text,LL Change Meaning,0.680115936521243,0.7830471961245031,0.6516164733870984,0.7054268947869771
D1,BertVgg,Text,LLM Gramatical Spelling,0.6961950669963941,0.7831291546885232,0.6649891985437094,0.7093100217905173
RECOVERY,BertVgg,Text,HotFlip,0.7133799261158391,0.7675674247962605,0.7324694915710745,0.7431968946932905
RECOVERY,BertVgg,Text,Text Burger,0.7123889630924274,0.7382974830529163,0.7746464563055651,0.7379040207492524
RECOVERY,BertVgg,Text,Text Fooler,0.6927185550485659,0.7414839329600751,0.7193706863661014,0.7491612388275497
RECOVERY,BertVgg,Text,LL Change Meaning,0.6957404483331557,0.7185922564567065,0.7411592561035454,0.7279991261561582
RECOVERY,BertVgg,Text,LLM Gramatical Spelling,0.7223606778625189,0.7268462478722857,0.7443445832949732,0.7440056822203609
D1,CnnVgg,Text,HotFlip,0.7965941762624811,0.7704762291105688,0.7453642004480328,0.7672247212860343
D1,CnnVgg,Text,Text Burger,0.7043138571351935,0.6595802960855677,0.7781824285827131,0.7423411218682284
D1,CnnVgg,Text,Text Fooler,0.6994244805168662,0.7540232192494729,0.7060762471891329,0.7319427082312095
D1,CnnVgg,Text,LL Change Meaning,0.751838433836336,0.7451032501308993,0.7657239580691217,0.7493852875871098
D1,CnnVgg,Text,LLM Gramatical Spelling,0.6786198681747035,0.6813862392068444,0.698049292087974,0.7052554004448826
RECOVERY,CnnVgg,Text,HotFlip,0.7749082027773888,0.7667466336349598,0.7758164879312153,0.7821368904173157
RECOVERY,CnnVgg,Text,Text Burger,0.7558729648419618,0.7579829667047886,0.7878818096947773,0.7707655864363476
RECOVERY,CnnVgg,Text,Text Fooler,0.763809345451113,0.8284686414676227,0.7470329215580606,0.7544043769455895
RECOVERY,CnnVgg,Text,LL Change Meaning,0.7308397691119215,0.7649313102872113,0.7882141087039347,0.796462891827124
RECOVERY,CnnVgg,Text,LLM Gramatical Spelling,0.7426699479737482,0.7290548981150962,0.8236585022358378,0.7624362741623949
D1,LstmVgg,Text,HotFlip,0.6785964911085671,0.7870649978222312,0.6644598108786435,0.7304253013897025
D1,LstmVgg,Text,Text Burger,0.6243241216823516,0.6885832007660269,0.6288407664887106,0.6563872215508695
D1,LstmVgg,Text,Text Fooler,0.6942444177601728,0.7205207426139013,0.6571965116289501,0.7099192252072052
D1,LstmVgg,Text,LL Change Meaning,0.710681801135931,0.7840617169519368,0.6188345654134901,0.710085268176434
D1,LstmVgg,Text,LLM Gramatical Spelling,0.663008179145669,0.7393328634628918,0.6320181960904727,0.6867003242605243
RECOVERY,LstmVgg,Text,HotFlip,0.7528707190669429,0.8142466029791533,0.7690313125711677,0.7510081970139416
RECOVERY,LstmVgg,Text,Text Burger,0.7293693764004472,0.7801563428509126,0.7216330120130726,0.7989629558312903
RECOVERY,LstmVgg,Text,Text Fooler,0.7861568698218147,0.7835991749498278,0.7577865072853136,0.7971837616920834
RECOVERY,LstmVgg,Text,LL Change Meaning,0.7517400309676575,0.7983970383324007,0.7231667420247854,0.7693426719061031
RECOVERY,LstmVgg,Text,LLM Gramatical Spelling,0.7866562097931106,0.8072409204865503,0.7371551706601571,0.7495179981526802
